QuarterEnd,DITAS_Close_QuarterEnd
2016-03-31,0.5117
2016-06-30,0.4581
2016-09-30,0.4989
2016-12-31,0.4662
2017-03-31,0.4919
2017-06-30,0.7401
2017-09-30,0.69
2017-12-31,0.7075
2018-03-31,0.8415
2018-06-30,0.6607
2018-09-30,0.7386
2018-12-31,0.6466
2019-03-31,0.6537
2019-06-30,0.6682
2019-09-30,0.7162
2019-12-31,1.2076
2020-03-31,1.344
2020-06-30,2.1867
2020-09-30,3.9291
2020-12-31,4.1474
2021-03-31,4.7337
2021-06-30,4.4867
2021-09-30,5.1915
2021-12-31,8.3357
2022-03-31,7.4109
2022-06-30,7.3463
2022-09-30,8.3548
2022-12-31,20.2567
2023-03-31,13.0258
2023-06-30,15.0566
2023-09-30,16.9643
2023-12-31,14.78
2024-03-31,23.72
2024-06-30,16.07
2024-09-30,16.99
2024-12-31,15.9
2025-03-31,13.0
2025-06-30,22.56
2025-09-30,28.82
2025-12-31,61.5
