QuarterEnd,KOTON_Close_QuarterEnd
2024-06-30,22.78
2024-09-30,19.58
2024-12-31,19.84
2025-03-31,15.31
2025-06-30,14.73
2025-09-30,18.21
2025-12-31,15.6
