QuarterEnd,ODINE_Close_QuarterEnd
2024-03-31,58.4
2024-06-30,70.0
2024-09-30,75.8
2024-12-31,133.8
2025-03-31,121.0
2025-06-30,110.9
2025-09-30,147.9
2025-12-31,304.5
