QuarterEnd,KZBGY_Close_QuarterEnd
2021-09-30,5.476
2021-12-31,6.4
2022-03-31,11.35
2022-06-30,15.86
2022-09-30,4.8075
2022-12-31,7.125
2023-03-31,4.9925
2023-06-30,4.5175
2023-09-30,5.455
2023-12-31,4.6675
2024-03-31,5.115
2024-06-30,6.21
2024-09-30,7.65
2024-12-31,6.875
2025-03-31,7.43
2025-06-30,11.15
2025-09-30,15.46
2025-12-31,10.9
