QuarterEnd,ARTMS_Close_QuarterEnd
2024-03-31,50.9
2024-06-30,44.34
2024-09-30,55.65
2024-12-31,29.92
2025-03-31,28.24
2025-06-30,27.64
2025-09-30,36.08
2025-12-31,37.54
