QuarterEnd,MZHLD_Close_QuarterEnd
2016-03-31,0.1278
2016-06-30,0.1028
2016-09-30,0.1298
2016-12-31,0.1168
2017-03-31,0.1128
2017-06-30,0.2595
2017-09-30,0.3793
2017-12-31,0.3983
2018-03-31,0.522
2018-06-30,0.569
2018-09-30,0.3883
2018-12-31,0.3803
2019-03-31,0.3853
2019-06-30,0.529
2019-09-30,0.532
2019-12-31,1.2068
2020-03-31,1.1479
2020-06-30,1.641
2020-09-30,1.9215
2020-12-31,3.1422
2021-03-31,3.9927
2021-06-30,3.9527
2021-09-30,3.2041
2021-12-31,3.1063
2022-03-31,3.3279
2022-06-30,9.283
2022-09-30,6.9822
2022-12-31,10.39
2023-03-31,7.23
2023-06-30,7.45
2023-09-30,9.42
2023-12-31,7.8
2024-03-31,8.11
2024-06-30,7.31
2024-09-30,6.57
2024-12-31,6.58
2025-03-31,5.56
2025-06-30,5.81
2025-09-30,7.03
2025-12-31,6.26
