QuarterEnd,AKFYE_Close_QuarterEnd
2023-03-31,17.1
2023-06-30,11.25
2023-09-30,18.1
2023-12-31,14.35
2024-03-31,22.42
2024-06-30,27.66
2024-09-30,18.88
2024-12-31,19.61
2025-03-31,16.37
2025-06-30,15.91
2025-09-30,16.61
2025-12-31,16.41
