QuarterEnd,IEYHO_Close_QuarterEnd
2016-03-31,0.26
2016-06-30,0.27
2016-09-30,0.27
2016-12-31,0.28
2017-03-31,0.34
2017-06-30,0.34
2017-09-30,0.4
2017-12-31,0.4
2018-03-31,0.37
2018-06-30,0.28
2018-09-30,0.23
2018-12-31,0.84
2019-03-31,0.3
2019-06-30,0.36
2019-09-30,0.41
2019-12-31,0.62
2020-03-31,0.42
2020-06-30,0.93
2020-09-30,0.93
2020-12-31,1.14
2021-03-31,1.48
2021-06-30,0.83
2021-09-30,0.97
2021-12-31,0.85
2022-03-31,0.83
2022-06-30,0.74
2022-09-30,1.01
2022-12-31,2.16
2023-03-31,1.58
2023-06-30,1.58
2023-09-30,5.15
2023-12-31,4.31
2024-03-31,4.94
2024-06-30,5.4
2024-09-30,9.35
2024-12-31,11.02
2025-03-31,8.67
2025-06-30,14.0
2025-09-30,29.6
2025-12-31,66.55
