QuarterEnd,YIGIT_Close_QuarterEnd
2024-06-30,34.74
2024-09-30,41.0
2024-12-31,34.9
2025-03-31,27.82
2025-06-30,22.9
2025-09-30,26.7
2025-12-31,22.9
