QuarterEnd,BOBET_Close_QuarterEnd
2021-06-30,4.5315
2021-09-30,4.1683
2021-12-31,3.5197
2022-03-31,4.2989
2022-06-30,5.4471
2022-09-30,6.2837
2022-12-31,14.2407
2023-03-31,15.6113
2023-06-30,17.8808
2023-09-30,45.143
2023-12-31,29.4574
2024-03-31,33.8479
2024-06-30,26.0588
2024-09-30,20.3973
2024-12-31,22.953
2025-03-31,19.0417
2025-06-30,20.4576
2025-09-30,19.77
2025-12-31,18.82
