QuarterEnd,HOROZ_Close_QuarterEnd
2024-06-30,47.68
2024-09-30,51.8
2024-12-31,75.0
2025-03-31,49.7
2025-06-30,49.9
2025-09-30,62.2
2025-12-31,63.9
