QuarterEnd,UNLU_Close_QuarterEnd
2021-06-30,4.5488
2021-09-30,5.3827
2021-12-31,4.8236
2022-03-31,5.5817
2022-06-30,5.1434
2022-09-30,6.7163
2022-12-31,9.9683
2023-03-31,8.5884
2023-06-30,9.77
2023-09-30,22.5
2023-12-31,15.8
2024-03-31,17.31
2024-06-30,16.55
2024-09-30,13.36
2024-12-31,14.61
2025-03-31,13.33
2025-06-30,16.22
2025-09-30,15.58
2025-12-31,16.49
