QuarterEnd,TTKOM_Close_QuarterEnd
2016-03-31,5.1521
2016-06-30,4.8559
2016-09-30,4.5509
2016-12-31,4.2379
2017-03-31,4.7355
2017-06-30,5.0084
2017-09-30,5.4498
2017-12-31,5.1689
2018-03-31,5.3375
2018-06-30,4.0051
2018-09-30,2.9216
2018-12-31,3.1302
2019-03-31,3.4914
2019-06-30,3.9971
2019-09-30,4.6633
2019-12-31,5.9153
2020-03-31,5.3776
2020-06-30,6.5093
2020-09-30,5.8535
2020-12-31,7.0012
2021-03-31,5.5583
2021-06-30,5.5906
2021-09-30,6.4803
2021-12-31,8.535
2022-03-31,9.2352
2022-06-30,8.77
2022-09-30,10.83
2022-12-31,24.56
2023-03-31,16.65
2023-06-30,20.74
2023-09-30,23.4
2023-12-31,24.36
2024-03-31,30.32
2024-06-30,48.3
2024-09-30,49.8
2024-12-31,43.48
2025-03-31,49.1
2025-06-30,58.85
2025-09-30,50.8
2025-12-31,57.5
