QuarterEnd,KOPOL_Close_QuarterEnd
2023-06-30,7.5533
2023-09-30,12.425
2023-12-31,6.5733
2024-03-31,7.7767
2024-06-30,6.7533
2024-09-30,5.83
2024-12-31,6.41
2025-03-31,5.23
2025-06-30,4.81
2025-09-30,6.61
2025-12-31,5.32
