QuarterEnd,IHEVA_Close_QuarterEnd
2016-03-31,0.2819
2016-06-30,0.2916
2016-09-30,0.2819
2016-12-31,0.2819
2017-03-31,0.4277
2017-06-30,0.3888
2017-09-30,0.5638
2017-12-31,0.4958
2018-03-31,0.486
2018-06-30,0.3986
2018-09-30,0.3402
2018-12-31,0.3208
2019-03-31,0.7777
2019-06-30,0.9915
2019-09-30,1.542
2019-12-31,3.0741
2020-03-31,2.0821
2020-06-30,2.1804
2020-09-30,2.2
2020-12-31,1.8464
2021-03-31,1.3848
2021-06-30,1.001
2021-09-30,0.9415
2021-12-31,0.9316
2022-03-31,1.0406
2022-06-30,0.9812
2022-09-30,1.1397
2022-12-31,1.9623
2023-03-31,1.5064
2023-06-30,1.6055
2023-09-30,2.438
2023-12-31,2.17
2024-03-31,2.27
2024-06-30,4.1
2024-09-30,2.22
2024-12-31,2.66
2025-03-31,2.17
2025-06-30,2.03
2025-09-30,3.15
2025-12-31,2.22
