QuarterEnd,ORCAY_Close_QuarterEnd
2021-09-30,1.6889
2021-12-31,2.6982
2022-03-31,1.7938
2022-06-30,1.6919
2022-09-30,2.5744
2022-12-31,3.4573
2023-03-31,2.4533
2023-06-30,2.7815
2023-09-30,4.1761
2023-12-31,3.5979
2024-03-31,4.849
2024-06-30,4.6458
2024-09-30,3.9286
2024-12-31,3.6616
2025-03-31,3.3827
2025-06-30,2.9006
2025-09-30,3.5222
2025-12-31,3.6
