QuarterEnd,EUPWR_Close_QuarterEnd
2023-06-30,30.2833
2023-09-30,77.7333
2023-12-31,54.0
2024-03-31,51.0
2024-06-30,34.1
2024-09-30,28.2
2024-12-31,33.18
2025-03-31,29.14
2025-06-30,25.66
2025-09-30,28.1
2025-12-31,32.8
