QuarterEnd,CONSE_Close_QuarterEnd
2022-06-30,2.08
2022-09-30,2.665
2022-12-31,5.6373
2023-03-31,3.705
2023-06-30,3.6223
2023-09-30,4.7155
2023-12-31,2.99
2024-03-31,3.4095
2024-06-30,3.2736
2024-09-30,2.8
2024-12-31,2.8
2025-03-31,2.61
2025-06-30,3.13
2025-09-30,3.29
2025-12-31,2.92
