QuarterEnd,RALYH_Close_QuarterEnd
2016-03-31,0.0309
2016-06-30,0.0244
2016-09-30,0.0232
2016-12-31,0.0256
2017-03-31,0.063
2017-06-30,0.0583
2017-09-30,0.0547
2017-12-31,0.0969
2018-03-31,0.0809
2018-06-30,0.107
2018-09-30,0.0969
2018-12-31,0.1344
2019-03-31,0.2826
2019-06-30,0.3476
2019-09-30,0.6623
2019-12-31,0.4965
2020-03-31,0.6017
2020-06-30,1.1756
2020-09-30,0.927
2020-12-31,0.84
2021-03-31,0.7303
2021-06-30,0.6432
2021-09-30,1.1105
2021-12-31,2.5068
2022-03-31,1.7122
2022-06-30,2.7886
2022-09-30,4.1697
2022-12-31,6.7995
2023-03-31,7.1703
2023-06-30,15.1351
2023-09-30,14.5203
2023-12-31,14.7284
2024-03-31,23.2514
2024-06-30,41.5649
2024-09-30,42.0
2024-12-31,55.7162
2025-03-31,94.15
2025-06-30,97.4
2025-09-30,159.5
2025-12-31,228.7
