QuarterEnd,BRLSM_Close_QuarterEnd
2021-09-30,4.3015
2021-12-31,3.6122
2022-03-31,3.9702
2022-06-30,3.9011
2022-09-30,5.4175
2022-12-31,13.5376
2023-03-31,7.9348
2023-06-30,9.53
2023-09-30,37.5
2023-12-31,23.4
2024-03-31,26.76
2024-06-30,18.1
2024-09-30,15.48
2024-12-31,14.94
2025-03-31,15.95
2025-06-30,15.05
2025-09-30,14.6
2025-12-31,13.17
