QuarterEnd,AKYHO_Close_QuarterEnd
2016-03-31,0.6989
2016-06-30,0.5893
2016-09-30,0.5062
2016-12-31,0.5112
2017-03-31,0.5957
2017-06-30,0.5887
2017-09-30,1.1795
2017-12-31,1.4418
2018-03-31,1.0625
2018-06-30,0.6905
2018-09-30,0.6249
2018-12-31,0.55
2019-03-31,0.5801
2019-06-30,0.3831
2019-09-30,0.3749
2019-12-31,0.5773
2020-03-31,0.3968
2020-06-30,0.8756
2020-09-30,1.4994
2020-12-31,1.4146
2021-03-31,1.2538
2021-06-30,1.0184
2021-09-30,1.2244
2021-12-31,1.0125
2022-03-31,1.0125
2022-06-30,0.9183
2022-09-30,1.1538
2022-12-31,1.7895
2023-03-31,1.2362
2023-06-30,1.2067
2023-09-30,2.2487
2023-12-31,2.284
2024-03-31,3.6261
2024-06-30,4.8328
2024-09-30,2.85
2024-12-31,2.7
2025-03-31,3.09
2025-06-30,2.88
2025-09-30,3.42
2025-12-31,2.74
