QuarterEnd,KONTR_Close_QuarterEnd
2020-12-31,0.7143
2021-03-31,2.1808
2021-06-30,2.2864
2021-09-30,1.8326
2021-12-31,1.9673
2022-03-31,4.1464
2022-06-30,4.5368
2022-09-30,9.2915
2022-12-31,25.2289
2023-03-31,22.6311
2023-06-30,23.7148
2023-09-30,53.1172
2023-12-31,34.6139
2024-03-31,37.4054
2024-06-30,26.3034
2024-09-30,22.7482
2024-12-31,19.9008
2025-03-31,15.1448
2025-06-30,10.492
2025-09-30,18.7828
2025-12-31,11.52
