QuarterEnd,TRGYO_Close_QuarterEnd
2016-03-31,1.8509
2016-06-30,2.1627
2016-09-30,2.0728
2016-12-31,1.7773
2017-03-31,1.9315
2017-06-30,2.1518
2017-09-30,2.8822
2017-12-31,2.9128
2018-03-31,2.5366
2018-06-30,2.4315
2018-09-30,1.5765
2018-12-31,1.3449
2019-03-31,2.0485
2019-06-30,1.719
2019-09-30,1.6834
2019-12-31,2.4493
2020-03-31,1.6566
2020-06-30,2.9659
2020-09-30,3.2687
2020-12-31,3.4736
2021-03-31,2.8323
2021-06-30,2.5384
2021-09-30,3.0105
2021-12-31,3.4914
2022-03-31,5.4242
2022-06-30,7.1966
2022-09-30,7.1342
2022-12-31,17.1899
2023-03-31,12.309
2023-06-30,16.3903
2023-09-30,30.2146
2023-12-31,28.6424
2024-03-31,37.3526
2024-06-30,48.4753
2024-09-30,47.8721
2024-12-31,60.1942
2025-03-31,57.3143
2025-06-30,66.85
2025-09-30,74.75
2025-12-31,74.0
