QuarterEnd,KRPLS_Close_QuarterEnd
2022-09-30,6.7528
2022-12-31,10.0497
2023-03-31,7.0209
2023-06-30,6.6336
2023-09-30,9.295
2023-12-31,7.29
2024-03-31,8.08
2024-06-30,7.77
2024-09-30,7.02
2024-12-31,7.93
2025-03-31,6.66
2025-06-30,6.9
2025-09-30,8.54
2025-12-31,7.78
