QuarterEnd,GRSEL_Close_QuarterEnd
2022-03-31,7.9732
2022-06-30,7.5903
2022-09-30,9.1525
2022-12-31,17.1634
2023-03-31,16.5976
2023-06-30,20.9852
2023-09-30,56.2849
2023-12-31,67.6941
2024-03-31,80.5172
2024-06-30,143.1533
2024-09-30,133.4969
2024-12-31,194.8489
2025-03-31,227.2572
2025-06-30,285.1934
2025-09-30,368.0
2025-12-31,320.0
