QuarterEnd,EDATA_Close_QuarterEnd
2021-09-30,1.2409
2021-12-31,2.1987
2022-03-31,2.2759
2022-06-30,1.5217
2022-09-30,1.7724
2022-12-31,3.0323
2023-03-31,2.2043
2023-06-30,2.4236
2023-09-30,6.2403
2023-12-31,5.4581
2024-03-31,7.687
2024-06-30,5.438
2024-09-30,5.3172
2024-12-31,4.2497
2025-03-31,4.01
2025-06-30,4.21
2025-09-30,4.71
2025-12-31,6.06
