QuarterEnd,VAKFN_Close_QuarterEnd
2016-03-31,0.0317
2016-06-30,0.031
2016-09-30,0.0299
2016-12-31,0.0391
2017-03-31,0.0596
2017-06-30,0.0683
2017-09-30,0.0642
2017-12-31,0.0661
2018-03-31,0.0687
2018-06-30,0.0668
2018-09-30,0.0564
2018-12-31,0.0727
2019-03-31,0.058
2019-06-30,0.06
2019-09-30,0.0704
2019-12-31,0.1235
2020-03-31,0.0847
2020-06-30,0.1582
2020-09-30,0.2357
2020-12-31,0.2485
2021-03-31,1.3499
2021-06-30,0.6126
2021-09-30,0.5579
2021-12-31,0.3762
2022-03-31,0.4078
2022-06-30,0.3243
2022-09-30,0.4441
2022-12-31,0.7757
2023-03-31,0.5332
2023-06-30,0.7465
2023-09-30,1.4127
2023-12-31,1.0421
2024-03-31,1.084
2024-06-30,1.292
2024-09-30,1.204
2024-12-31,1.33
2025-03-31,1.561
2025-06-30,1.617
2025-09-30,1.88
2025-12-31,1.84
