QuarterEnd,BURVA_Close_QuarterEnd
2016-03-31,1.22
2016-06-30,1.25
2016-09-30,1.23
2016-12-31,1.44
2017-03-31,1.54
2017-06-30,2.06
2017-09-30,1.68
2017-12-31,1.75
2018-03-31,1.76
2018-06-30,1.46
2018-09-30,1.52
2018-12-31,1.48
2019-03-31,1.49
2019-06-30,1.49
2019-09-30,4.36
2019-12-31,9.71
2020-03-31,12.97
2020-06-30,21.72
2020-09-30,60.45
2020-12-31,49.66
2021-03-31,31.04
2021-06-30,21.54
2021-09-30,21.98
2021-12-31,23.32
2022-03-31,22.3
2022-06-30,18.58
2022-09-30,20.3
2022-12-31,41.32
2023-03-31,28.66
2023-06-30,66.15
2023-09-30,64.2
2023-12-31,71.75
2024-03-31,152.7
2024-06-30,127.8
2024-09-30,150.0
2024-12-31,111.1
2025-03-31,103.4
2025-06-30,98.2
2025-09-30,122.7
2025-12-31,630.0
