QuarterEnd,AVPGY_Close_QuarterEnd
2023-12-31,34.0534
2024-03-31,39.7436
2024-06-30,36.882
2024-09-30,46.5041
2024-12-31,49.7272
2025-03-31,52.0754
2025-06-30,60.6528
2025-09-30,58.7877
2025-12-31,52.0
