QuarterEnd,NTGAZ_Close_QuarterEnd
2021-06-30,0.9615
2021-09-30,0.926
2021-12-31,0.8476
2022-03-31,0.8843
2022-06-30,1.0815
2022-09-30,2.9349
2022-12-31,5.7934
2023-03-31,4.3865
2023-06-30,3.7749
2023-09-30,5.2259
2023-12-31,6.6769
2024-03-31,4.6247
2024-06-30,4.9512
2024-09-30,4.2704
2024-12-31,5.7836
2025-03-31,6.7955
2025-06-30,8.82
2025-09-30,9.07
2025-12-31,10.5
