QuarterEnd,ASUZU_Close_QuarterEnd
2016-03-31,1.635
2016-06-30,1.3475
2016-09-30,1.309
2016-12-31,1.8179
2017-03-31,1.7523
2017-06-30,2.0406
2017-09-30,2.4369
2017-12-31,2.8178
2018-03-31,4.0935
2018-06-30,3.1863
2018-09-30,2.728
2018-12-31,1.9136
2019-03-31,2.1768
2019-06-30,2.2016
2019-09-30,2.9107
2019-12-31,3.7684
2020-03-31,2.6196
2020-06-30,4.4032
2020-09-30,4.6942
2020-12-31,5.5736
2021-03-31,5.8833
2021-06-30,4.8584
2021-09-30,5.5148
2021-12-31,10.689
2022-03-31,23.1616
2022-06-30,41.5082
2022-09-30,62.9148
2022-12-31,71.8937
2023-03-31,47.6599
2023-06-30,51.9362
2023-09-30,81.1898
2023-12-31,62.0139
2024-03-31,85.8654
2024-06-30,90.1586
2024-09-30,66.6159
2024-12-31,63.9087
2025-03-31,57.1407
2025-06-30,54.15
2025-09-30,57.45
2025-12-31,57.05
