QuarterEnd,ISBIR_Close_QuarterEnd
2016-03-31,2.3802
2016-06-30,2.3163
2016-09-30,2.2677
2016-12-31,1.8805
2017-03-31,2.157
2017-06-30,1.9358
2017-09-30,3.4337
2017-12-31,3.443
2018-03-31,5.9523
2018-06-30,3.5714
2018-09-30,3.3766
2018-12-31,2.5887
2019-03-31,3.0539
2019-06-30,5.5339
2019-09-30,6.3157
2019-12-31,8.1019
2020-03-31,8.2903
2020-06-30,23.5896
2020-09-30,61.1615
2020-12-31,51.6258
2021-03-31,150.7322
2021-06-30,99.9476
2021-09-30,59.0521
2021-12-31,60.5909
2022-03-31,50.0115
2022-06-30,47.6443
2022-09-30,48.2666
2022-12-31,89.4547
2023-03-31,68.112
2023-06-30,74.8717
2023-09-30,136.7565
2023-12-31,95.2376
2024-03-31,122.4905
2024-06-30,124.4583
2024-09-30,106.4725
2024-12-31,105.5803
2025-03-31,74.4515
2025-06-30,86.7444
2025-09-30,126.8
2025-12-31,85.5
