QuarterEnd,PNLSN_Close_QuarterEnd
2022-03-31,9.7458
2022-06-30,12.3135
2022-09-30,14.9222
2022-12-31,39.7147
2023-03-31,35.7627
2023-06-30,45.1463
2023-09-30,61.9681
2023-12-31,55.4762
2024-03-31,85.7717
2024-06-30,61.9189
2024-09-30,43.7728
2024-12-31,49.7871
2025-03-31,40.6661
2025-06-30,38.8937
2025-09-30,42.22
2025-12-31,37.1
