QuarterEnd,KTLEV_Close_QuarterEnd
2023-06-30,1.2652
2023-09-30,3.645
2023-12-31,6.3513
2024-03-31,11.0475
2024-06-30,4.1022
2024-09-30,4.282
2024-12-31,4.4961
2025-03-31,5.5366
2025-06-30,8.15
2025-09-30,13.3
2025-12-31,21.44
