QuarterEnd,SDTTR_Close_QuarterEnd
2023-03-31,137.2925
2023-06-30,115.1473
2023-09-30,370.3279
2023-12-31,268.5287
2024-03-31,318.0272
2024-06-30,244.819
2024-09-30,229.6444
2024-12-31,212.9978
2025-03-31,197.3127
2025-06-30,180.6285
2025-09-30,206.404
2025-12-31,177.1
