QuarterEnd,VRGYO_Close_QuarterEnd
2023-12-31,5.0
2024-03-31,11.265
2024-06-30,5.36
2024-09-30,3.48
2024-12-31,3.0
2025-03-31,2.51
2025-06-30,2.67
2025-09-30,3.26
2025-12-31,2.4
