QuarterEnd,ISYAT_Close_QuarterEnd
2016-03-31,0.3701
2016-06-30,0.3488
2016-09-30,0.3531
2016-12-31,0.4084
2017-03-31,0.4035
2017-06-30,0.4084
2017-09-30,0.4229
2017-12-31,0.4667
2018-03-31,0.4909
2018-06-30,0.4732
2018-09-30,0.4732
2018-12-31,0.5382
2019-03-31,0.5761
2019-06-30,0.773
2019-09-30,0.9261
2019-12-31,1.3418
2020-03-31,1.782
2020-06-30,2.2566
2020-09-30,2.5647
2020-12-31,2.9311
2021-03-31,2.8064
2021-06-30,2.4926
2021-09-30,2.3096
2021-12-31,2.7802
2022-03-31,3.0845
2022-06-30,2.991
2022-09-30,3.7388
2022-12-31,4.8137
2023-03-31,4.36
2023-06-30,4.46
2023-09-30,11.66
2023-12-31,9.7
2024-03-31,11.03
2024-06-30,9.47
2024-09-30,8.2
2024-12-31,8.59
2025-03-31,7.68
2025-06-30,7.97
2025-09-30,9.26
2025-12-31,8.7
