QuarterEnd,ATLAS_Close_QuarterEnd
2016-03-31,0.499
2016-06-30,0.4491
2016-09-30,0.4491
2016-12-31,0.5433
2017-03-31,0.7651
2017-06-30,0.6985
2017-09-30,0.6008
2017-12-31,0.5554
2018-03-31,0.6008
2018-06-30,0.5214
2018-09-30,0.4364
2018-12-31,0.5186
2019-03-31,1.0373
2019-06-30,0.4704
2019-09-30,0.6031
2019-12-31,0.8684
2020-03-31,0.6694
2020-06-30,0.9227
2020-09-30,1.3118
2020-12-31,1.5994
2021-03-31,1.3435
2021-06-30,1.5628
2021-09-30,1.2704
2021-12-31,1.1331
2022-03-31,1.0866
2022-06-30,1.0495
2022-09-30,1.2445
2022-12-31,3.3672
2023-03-31,2.8311
2023-06-30,3.6212
2023-09-30,5.3894
2023-12-31,4.4176
2024-03-31,5.4723
2024-06-30,4.7758
2024-09-30,5.1141
2024-12-31,6.8851
2025-03-31,4.8753
2025-06-30,5.0743
2025-09-30,6.7657
2025-12-31,5.87
