QuarterEnd,BNTAS_Close_QuarterEnd
2016-03-31,0.3198
2016-06-30,0.3695
2016-09-30,0.4289
2016-12-31,0.7136
2017-03-31,1.518
2017-06-30,0.6535
2017-09-30,0.6763
2017-12-31,1.0399
2018-03-31,0.6865
2018-06-30,0.6051
2018-09-30,0.5467
2018-12-31,0.3839
2019-03-31,0.4742
2019-06-30,0.465
2019-09-30,0.5874
2019-12-31,0.7709
2020-03-31,0.8933
2020-06-30,1.2849
2020-09-30,1.2298
2020-12-31,1.7151
2021-03-31,1.6091
2021-06-30,1.9528
2021-09-30,1.876
2021-12-31,1.6676
2022-03-31,1.7444
2022-06-30,2.09
2022-09-30,2.3149
2022-12-31,4.3993
2023-03-31,3.22
2023-06-30,2.9567
2023-09-30,4.3006
2023-12-31,3.6204
2024-03-31,6.972
2024-06-30,6.5551
2024-09-30,5.7981
2024-12-31,6.61
2025-03-31,5.54
2025-06-30,6.8
2025-09-30,6.84
2025-12-31,6.33
