QuarterEnd,VKFYO_Close_QuarterEnd
2016-03-31,0.6854
2016-06-30,0.6387
2016-09-30,0.8802
2016-12-31,0.8802
2017-03-31,1.293
2017-06-30,1.5656
2017-09-30,1.1216
2017-12-31,1.1061
2018-03-31,1.1762
2018-06-30,0.997
2018-09-30,0.9659
2018-12-31,1.1839
2019-03-31,0.8334
2019-06-30,0.9814
2019-09-30,1.4877
2019-12-31,1.8149
2020-03-31,1.2774
2020-06-30,3.2886
2020-09-30,8.3212
2020-12-31,7.3346
2021-03-31,7.8728
2021-06-30,6.4975
2021-09-30,6.0192
2021-12-31,5.5309
2022-03-31,5.2518
2022-06-30,5.3017
2022-09-30,5.6106
2022-12-31,8.0974
2023-03-31,6.3701
2023-06-30,28.5156
2023-09-30,24.6416
2023-12-31,24.8
2024-03-31,21.98
2024-06-30,25.64
2024-09-30,19.54
2024-12-31,19.01
2025-03-31,17.23
2025-06-30,16.62
2025-09-30,23.26
2025-12-31,38.0
