QuarterEnd,BRKO_Close_QuarterEnd
2016-03-31,0.6042
2016-06-30,1.1797
2016-09-30,1.1509
2016-12-31,0.7481
2017-03-31,0.8776
2017-06-30,0.4944
2017-09-30,0.454
2017-12-31,0.4136
2018-03-31,0.3834
2018-06-30,0.42
2018-09-30,0.36
2018-12-31,0.3
2019-03-31,0.24
2019-06-30,0.24
2019-09-30,0.29
2019-12-31,0.31
2020-03-31,0.25
2020-06-30,0.51
2020-09-30,0.97
2020-12-31,1.11
2021-03-31,1.44
2021-06-30,1.05
2021-09-30,1.08
2021-12-31,0.99
2022-03-31,0.92
2022-06-30,1.45
2022-09-30,2.15
2022-12-31,5.55
2023-03-31,4.21
2023-06-30,5.25
2023-09-30,4.13
2023-12-31,3.6
2024-03-31,4.0
2024-06-30,9.1
2024-09-30,8.72
2024-12-31,12.05
2025-03-31,10.13
2025-06-30,6.29
2025-09-30,9.8
2025-12-31,9.4
