QuarterEnd,TAVHL_Close_QuarterEnd
2016-03-31,13.1398
2016-06-30,9.6379
2016-09-30,9.6692
2016-12-31,10.9667
2017-03-31,11.8512
2017-06-30,15.4336
2017-09-30,14.4357
2017-12-31,18.3698
2018-03-31,20.4377
2018-06-30,19.2053
2018-09-30,26.771
2018-12-31,20.4719
2019-03-31,21.7277
2019-06-30,25.1348
2019-09-30,21.9697
2019-12-31,27.1643
2020-03-31,16.56
2020-06-30,19.37
2020-09-30,15.41
2020-12-31,21.3
2021-03-31,20.4
2021-06-30,23.72
2021-09-30,26.28
2021-12-31,32.7
2022-03-31,40.72
2022-06-30,49.76
2022-09-30,62.95
2022-12-31,93.5
2023-03-31,73.9
2023-06-30,93.35
2023-09-30,125.3
2023-12-31,107.5
2024-03-31,183.1
2024-06-30,259.5
2024-09-30,249.7
2024-12-31,274.0
2025-03-31,242.0
2025-06-30,264.5
2025-09-30,240.0
2025-12-31,298.25
