QuarterEnd,GARAN_Close_QuarterEnd
2016-03-31,6.1874
2016-06-30,5.7842
2016-09-30,6.0665
2016-12-31,5.8147
2017-03-31,6.7609
2017-06-30,7.7096
2017-09-30,7.623
2017-12-31,8.442
2018-03-31,8.6152
2018-06-30,6.8841
2018-09-30,6.3337
2018-12-31,6.5391
2019-03-31,6.8512
2019-06-30,7.4756
2019-09-30,8.3874
2019-12-31,9.1514
2020-03-31,6.6787
2020-06-30,6.9498
2020-09-30,5.8326
2020-12-31,8.5188
2021-03-31,5.4958
2021-06-30,6.9655
2021-09-30,7.7544
2021-12-31,9.458
2022-03-31,10.2385
2022-06-30,11.9103
2022-09-30,16.6488
2022-12-31,25.7401
2023-03-31,23.8721
2023-06-30,29.5498
2023-09-30,49.1112
2023-12-31,53.8149
2024-03-31,66.0575
2024-06-30,108.3922
2024-09-30,118.0357
2024-12-31,119.9644
2025-03-31,118.0
2025-06-30,135.0
2025-09-30,139.8
2025-12-31,143.5
