QuarterEnd,BYDNR_Close_QuarterEnd
2023-09-30,40.672
2023-12-31,21.9003
2024-03-31,27.1726
2024-06-30,26.5739
2024-09-30,21.4175
2024-12-31,24.7778
2025-03-31,19.2931
2025-06-30,19.76
2025-09-30,23.26
2025-12-31,26.76
