QuarterEnd,ELITE_Close_QuarterEnd
2021-12-31,9.4854
2022-03-31,7.0435
2022-06-30,7.297
2022-09-30,10.4441
2022-12-31,17.2357
2023-03-31,12.0258
2023-06-30,18.0415
2023-09-30,49.5793
2023-12-31,53.0055
2024-03-31,47.6301
2024-06-30,27.4252
2024-09-30,35.8024
2024-12-31,38.3389
2025-03-31,38.5386
2025-06-30,32.7878
2025-09-30,33.8261
2025-12-31,28.26
