QuarterEnd,MEKAG_Close_QuarterEnd
2023-12-31,4.5352
2024-03-31,4.9531
2024-06-30,4.3438
2024-09-30,3.4844
2024-12-31,3.5922
2025-03-31,3.2391
2025-06-30,3.1984
2025-09-30,4.94
2025-12-31,3.87
