QuarterEnd,ARDYZ_Close_QuarterEnd
2020-03-31,1.7062
2020-06-30,4.2251
2020-09-30,4.2971
2020-12-31,6.7298
2021-03-31,7.0265
2021-06-30,7.1875
2021-09-30,6.3994
2021-12-31,7.3074
2022-03-31,5.1142
2022-06-30,5.2737
2022-09-30,5.9616
2022-12-31,10.4542
2023-03-31,7.721
2023-06-30,8.4392
2023-09-30,22.1055
2023-12-31,26.0319
2024-03-31,41.6829
2024-06-30,37.7901
2024-09-30,35.157
2024-12-31,40.9499
2025-03-31,27.6861
2025-06-30,27.1068
2025-09-30,25.8284
2025-12-31,33.24
