QuarterEnd,AHGAZ_Close_QuarterEnd
2022-12-31,7.2294
2023-03-31,7.0777
2023-06-30,7.9983
2023-09-30,14.0594
2023-12-31,10.225
2024-03-31,13.4703
2024-06-30,14.329
2024-09-30,14.89
2024-12-31,20.74
2025-03-31,20.8
2025-06-30,27.86
2025-09-30,28.9
2025-12-31,22.5
