QuarterEnd,GRNYO_Close_QuarterEnd
2016-03-31,0.4582
2016-06-30,0.442
2016-09-30,0.4347
2016-12-31,0.4936
2017-03-31,0.5599
2017-06-30,0.5717
2017-09-30,0.5952
2017-12-31,0.5874
2018-03-31,0.5952
2018-06-30,0.512
2018-09-30,0.512
2018-12-31,0.6616
2019-03-31,0.5025
2019-06-30,0.551
2019-09-30,0.7769
2019-12-31,0.9756
2020-03-31,1.0479
2020-06-30,1.8518
2020-09-30,2.2563
2020-12-31,3.1613
2021-03-31,2.7894
2021-06-30,2.2119
2021-09-30,2.1823
2021-12-31,2.4772
2022-03-31,2.0938
2022-06-30,2.1432
2022-09-30,4.0593
2022-12-31,4.6321
2023-03-31,4.2173
2023-06-30,6.47
2023-09-30,9.28
2023-12-31,6.68
2024-03-31,10.4
2024-06-30,9.45
2024-09-30,9.23
2024-12-31,9.09
2025-03-31,8.14
2025-06-30,8.11
2025-09-30,14.95
2025-12-31,14.98
