QuarterEnd,KLSER_Close_QuarterEnd
2023-09-30,95.8986
2023-12-31,64.0817
2024-03-31,62.2395
2024-06-30,43.48
2024-09-30,39.2
2024-12-31,35.32
2025-03-31,30.1
2025-06-30,28.94
2025-09-30,30.68
2025-12-31,26.66
