QuarterEnd,ALARK_Close_QuarterEnd
2016-03-31,1.3003
2016-06-30,1.3007
2016-09-30,1.4029
2016-12-31,1.7015
2017-03-31,2.0984
2017-06-30,2.3765
2017-09-30,2.7297
2017-12-31,3.0163
2018-03-31,2.8045
2018-06-30,2.0232
2018-09-30,2.1068
2018-12-31,1.78
2019-03-31,2.1841
2019-06-30,2.9115
2019-09-30,4.5543
2019-12-31,5.4305
2020-03-31,3.7602
2020-06-30,5.0928
2020-09-30,5.4852
2020-12-31,7.9865
2021-03-31,9.3268
2021-06-30,7.9008
2021-09-30,8.0789
2021-12-31,11.6216
2022-03-31,22.4558
2022-06-30,31.0034
2022-09-30,55.5321
2022-12-31,77.5086
2023-03-31,61.298
2023-06-30,72.4202
2023-09-30,119.1898
2023-12-31,87.4241
2024-03-31,126.0219
2024-06-30,104.5779
2024-09-30,91.834
2024-12-31,89.4992
2025-03-31,97.9627
2025-06-30,82.9
2025-09-30,82.3
2025-12-31,102.0
