QuarterEnd,TNZTP_Close_QuarterEnd
2023-03-31,7.3223
2023-06-30,8.5632
2023-09-30,19.536
2023-12-31,19.52
2024-03-31,20.288
2024-06-30,18.88
2024-09-30,17.28
2024-12-31,18.48
2025-03-31,20.1019
2025-06-30,19.8834
2025-09-30,22.96
2025-12-31,20.44
