QuarterEnd,DAPGM_Close_QuarterEnd
2022-03-31,1.5137
2022-06-30,2.434
2022-09-30,3.1702
2022-12-31,5.8214
2023-03-31,4.0053
2023-06-30,5.1474
2023-09-30,10.5507
2023-12-31,4.1266
2024-03-31,5.216
2024-06-30,5.2098
2024-09-30,5.38
2024-12-31,6.88
2025-03-31,7.32
2025-06-30,8.86
2025-09-30,14.33
2025-12-31,11.86
