QuarterEnd,TKFEN_Close_QuarterEnd
2016-03-31,3.8115
2016-06-30,5.2901
2016-09-30,5.5413
2016-12-31,4.6369
2017-03-31,6.442
2017-06-30,6.4941
2017-09-30,8.7209
2017-12-31,12.6605
2018-03-31,12.6978
2018-06-30,13.4103
2018-09-30,16.7108
2018-12-31,16.0151
2019-03-31,17.4219
2019-06-30,21.1792
2019-09-30,15.6152
2019-12-31,15.7621
2020-03-31,10.3612
2020-06-30,14.4604
2020-09-30,12.9126
2020-12-31,14.4548
2021-03-31,13.0624
2021-06-30,12.9743
2021-09-30,12.1898
2021-12-31,17.8396
2022-03-31,18.7739
2022-06-30,19.6486
2022-09-30,26.7555
2022-12-31,44.7683
2023-03-31,29.5729
2023-06-30,38.3192
2023-09-30,53.3482
2023-12-31,36.7466
2024-03-31,40.5685
2024-06-30,52.4525
2024-09-30,51.7557
2024-12-31,71.7116
2025-03-31,149.2954
2025-06-30,108.289
2025-09-30,81.1172
2025-12-31,70.4
