QuarterEnd,INTEM_Close_QuarterEnd
2016-03-31,5.53
2016-06-30,5.4688
2016-09-30,5.5042
2016-12-31,6.6501
2017-03-31,5.9549
2017-06-30,6.177
2017-09-30,6.074
2017-12-31,7.8347
2018-03-31,10.2166
2018-06-30,10.4548
2018-09-30,8.6458
2018-12-31,5.9967
2019-03-31,7.37
2019-06-30,7.15
2019-09-30,7.38
2019-12-31,9.26
2020-03-31,7.26
2020-06-30,12.39
2020-09-30,22.08
2020-12-31,39.9
2021-03-31,51.55
2021-06-30,39.46
2021-09-30,33.84
2021-12-31,89.5
2022-03-31,69.85
2022-06-30,54.95
2022-09-30,76.45
2022-12-31,102.0
2023-03-31,76.6
2023-06-30,98.75
2023-09-30,165.5
2023-12-31,207.5
2024-03-31,318.0
2024-06-30,248.1
2024-09-30,222.5
2024-12-31,233.0
2025-03-31,196.0
2025-06-30,177.1
2025-09-30,249.1
2025-12-31,276.0
