QuarterEnd,HATSN_Close_QuarterEnd
2023-09-30,39.98
2023-12-31,49.24
2024-03-31,66.5
2024-06-30,51.35
2024-09-30,42.96
2024-12-31,45.22
2025-03-31,39.0
2025-06-30,36.88
2025-09-30,47.82
2025-12-31,38.64
