QuarterEnd,SUWEN_Close_QuarterEnd
2022-06-30,1.7889
2022-09-30,3.8778
2022-12-31,7.3038
2023-03-31,5.6191
2023-06-30,5.9404
2023-09-30,9.6648
2023-12-31,10.0727
2024-03-31,7.7663
2024-06-30,12.8262
2024-09-30,11.3275
2024-12-31,12.1417
2025-03-31,8.6557
2025-06-30,13.8136
2025-09-30,11.26
2025-12-31,9.8
