QuarterEnd,GEDZA_Close_QuarterEnd
2016-03-31,0.6944
2016-06-30,0.748
2016-09-30,0.6761
2016-12-31,0.7918
2017-03-31,0.9758
2017-06-30,1.033
2017-09-30,0.9014
2017-12-31,0.8807
2018-03-31,0.9416
2018-06-30,0.7845
2018-09-30,1.0769
2018-12-31,1.0111
2019-03-31,1.089
2019-06-30,1.33
2019-09-30,1.49
2019-12-31,1.69
2020-03-31,1.9375
2020-06-30,2.8375
2020-09-30,4.38
2020-12-31,6.7
2021-03-31,8.96
2021-06-30,10.825
2021-09-30,7.845
2021-12-31,8.445
2022-03-31,9.605
2022-06-30,10.85
2022-09-30,11.88
2022-12-31,18.44
2023-03-31,11.47
2023-06-30,13.04
2023-09-30,21.82
2023-12-31,20.16
2024-03-31,27.8
2024-06-30,24.32
2024-09-30,20.14
2024-12-31,29.42
2025-03-31,27.1
2025-06-30,21.48
2025-09-30,31.26
2025-12-31,28.06
