QuarterEnd,ENERY_Close_QuarterEnd
2023-09-30,2.5138
2023-12-31,1.8022
2024-03-31,2.6664
2024-06-30,3.1371
2024-09-30,3.3953
2024-12-31,4.1315
2025-03-31,3.286
2025-06-30,6.7818
2025-09-30,9.54
2025-12-31,9.59
