QuarterEnd,KATMR_Close_QuarterEnd
2016-03-31,0.5263
2016-06-30,0.399
2016-09-30,0.5605
2016-12-31,0.5206
2017-03-31,0.6793
2017-06-30,0.8784
2017-09-30,1.0143
2017-12-31,0.8507
2018-03-31,0.7852
2018-06-30,0.633
2018-09-30,0.5434
2018-12-31,0.4175
2019-03-31,0.4431
2019-06-30,0.2678
2019-09-30,0.4344
2019-12-31,0.5329
2020-03-31,0.3414
2020-06-30,0.6966
2020-09-30,0.7965
2020-12-31,1.0737
2021-03-31,1.2758
2021-06-30,1.1922
2021-09-30,0.7933
2021-12-31,0.8801
2022-03-31,0.8119
2022-06-30,0.8429
2022-09-30,0.9731
2022-12-31,1.816
2023-03-31,0.9464
2023-06-30,1.0491
2023-09-30,1.7241
2023-12-31,1.3939
2024-03-31,1.5627
2024-06-30,1.5847
2024-09-30,1.6654
2024-12-31,1.614
2025-03-31,1.6947
2025-06-30,1.86
2025-09-30,2.97
2025-12-31,2.79
