QuarterEnd,ALFAS_Close_QuarterEnd
2022-12-31,35.036
2023-03-31,34.4408
2023-06-30,54.3673
2023-09-30,143.0135
2023-12-31,82.5645
2024-03-31,95.883
2024-06-30,68.8038
2024-09-30,52.4145
2024-12-31,67.7103
2025-03-31,51.4678
2025-06-30,41.234
2025-09-30,45.86
2025-12-31,40.82
