QuarterEnd,DMSAS_Close_QuarterEnd
2016-03-31,0.2381
2016-06-30,0.269
2016-09-30,0.2496
2016-12-31,0.2361
2017-03-31,0.2438
2017-06-30,0.3174
2017-09-30,0.3619
2017-12-31,0.3541
2018-03-31,0.538
2018-06-30,0.4451
2018-09-30,0.8009
2018-12-31,0.6325
2019-03-31,0.783
2019-06-30,0.7323
2019-09-30,0.691
2019-12-31,0.958
2020-03-31,0.6882
2020-06-30,1.3242
2020-09-30,1.7454
2020-12-31,1.8197
2021-03-31,1.9932
2021-06-30,2.1385
2021-09-30,1.821
2021-12-31,2.7343
2022-03-31,2.265
2022-06-30,2.0997
2022-09-30,4.9956
2022-12-31,5.8846
2023-03-31,4.7611
2023-06-30,4.9356
2023-09-30,5.2847
2023-12-31,4.5048
2024-03-31,5.87
2024-06-30,6.26
2024-09-30,6.44
2024-12-31,8.59
2025-03-31,7.53
2025-06-30,7.1
2025-09-30,8.56
2025-12-31,10.07
