QuarterEnd,HDFGS_Close_QuarterEnd
2016-03-31,0.1205
2016-06-30,0.0946
2016-09-30,0.0907
2016-12-31,0.0933
2017-03-31,0.1317
2017-06-30,0.3551
2017-09-30,0.3806
2017-12-31,0.2276
2018-03-31,0.2033
2018-06-30,0.1742
2018-09-30,0.143
2018-12-31,0.1329
2019-03-31,0.126
2019-06-30,0.1398
2019-09-30,0.1879
2019-12-31,0.299
2020-03-31,0.2062
2020-06-30,0.362
2020-09-30,0.5676
2020-12-31,1.045
2021-03-31,1.6041
2021-06-30,1.1423
2021-09-30,1.1216
2021-12-31,1.0596
2022-03-31,0.9312
2022-06-30,0.9023
2022-09-30,1.2083
2022-12-31,1.8785
2023-03-31,1.2413
2023-06-30,1.1799
2023-09-30,1.961
2023-12-31,1.4687
2024-03-31,1.7969
2024-06-30,1.5508
2024-09-30,1.2554
2024-12-31,1.2554
2025-03-31,1.3621
2025-06-30,1.47
2025-09-30,2.54
2025-12-31,3.15
