QuarterEnd,CWENE_Close_QuarterEnd
2023-06-30,19.3914
2023-09-30,41.3325
2023-12-31,31.0137
2024-03-31,32.2428
2024-06-30,23.7819
2024-09-30,20.038
2024-12-31,19.5124
2025-03-31,15.5802
2025-06-30,13.4194
2025-09-30,22.1091
2025-12-31,28.04
